Charter number,Year and quarter,Year,Quarter ,Credit Union name,"Street 
(Mailing address)","City 
(Mailing address)",State (Mailing address),Zip code (Mailing address),Credit Union type,NCUA region,Low-income designation,Members,Total assets,Total loans,Total deposits,Return on average assets,Net worth ratio (excludes CECL transition provision),Loan-to-share ratio,"Total deposits,
4 quarter growth 
(%)","Total loans, 
4 quarter growth 
(%)","Total assets, 
4 quarter growth 
(%)","Members,
4 quarter growth 
(%)","Net worth, 
4 quarter growth (excludes CECL transition provision)
(%)",Unnamed: 24,NCUA internal ID (join_number)
79,2025.3,2025,3,CAMPUS,P.O. Box 98036,Baton Rouge,LA,70898,1,2,1,43824,895459823,663412685,806549558,0.6197884724203254,10.3,82.25318313298239,2.7556102593744303,2.2667079513716937,2.189789910755513,-0.7473841554558991,7.776618813724673,,43
82,2025.3,2025,3,FIRST ATLANTIC,468 INDUSTRIAL WAY W,EATONTOWN,NJ,7724,1,1,0,22876,311470628,198491484,264207896,1.5698486971117922,13.42,75.1270068022494,6.1854657726444495,-7.937781321570281,6.744641081626757,-5.576422999133202,12.831031596698232,,46
90,2025.3,2025,3,POST GAZETTE,2201 SWEENEY DR,CLINTON,PA,15026,1,1,0,1381,7734894,3606949,2579327,0.018969245981666067,65.09,139.8407026328961,-9.431675933615058,-8.246742675152753,-2.7919270071102953,-1.8479033404406486,-0.1377904692313902,,49
98,2025.3,2025,3,NIAGARA FALLS TEACHERS,6040 Lindbergh Ave,Niagara Falls,NY,14304,1,1,1,1235,11560584,4386510,9331092,1.8343098134849827,19.26,47.00961045073824,-9.05725632804092,-17.249322045888647,-6.228231711961307,-2.2943037974683556,7.548827105856161,,54
107,2025.3,2025,3,KEMBA ROANOKE,2812 W MAIN ST,SALEM,VA,24153,1,1,1,4733,76836001,23968852,65086636,0.6345777274149432,15.96,36.826072866939995,4.387919334264145,-0.3515302426803868,3.043167678573555,-3.859435303676617,2.512600273608329,,57
108,2025.3,2025,3,KEMBA CHARLESTON,1830 Roxalana Road,Dunbar,WV,25064,1,1,1,3922,44953689,14713783,35405064,0.6520996613426793,20.13,41.558413790750386,1.7072042611636418,-10.311162194664714,1.7662615139811377,8.402432283029304,2.9076423454692737,,58
110,2025.3,2025,3,ITALO-AMERICAN,6652 Myrtle Ave,Glendale,NY,11385,1,1,1,599,39058829,31983167,32961532,1.0674815939513906,14.8,97.03179755115752,-1.2076592515611106,6.595064850575039,-0.34076773691541495,3.8128249566724337,7.421759300379698,,59
119,2025.3,2025,3,TRIBORO POSTAL,"14202 20TH AVE, P.O. BOX 520487",FLUSHING,NY,11352,1,1,1,3739,91614353,10864956,79860634,-0.9992372238601949,18.79,13.604895748761523,-2.741209810340528,-16.900998132807963,-5.887365956092339,-2.452387164101222,-23.924664648734435,,62
120,2025.3,2025,3,COUNTY EXCELLENCE,16 E Lincoln Ave,Roselle Park,NJ,7204,1,1,0,8814,123639979,66813249,113064489,0.5491584096186145,8.9,59.09304467824553,6.378972679603634,39.77479423811923,6.213672720723906,0.49025196670846594,5.307445125393414,,63
132,2025.3,2025,3,MOUNT VERNON NY POSTAL EMPLOYEES,"15 South First Ave, PO Box 1173",Mount Vernon,NY,10550,1,1,1,146,1154412,166697,968321,2.9145039402972817,15.83,17.215055751140376,4.179124389307098,-20.19828712857068,5.588909986938728,-5.1948051948051965,13.989372318131924,,69
135,2025.3,2025,3,OMAHA,3001 S 82ND AVE,OMAHA,NE,68124,1,3,0,8359,113974076,58136660,96405884,1.9588373675818096,14.59,60.304057789667695,23.609079168693526,11.521100346423928,28.36134142884479,34.02276735610068,70.86172926020052,,70
138,2025.3,2025,3,VIGO COUNTY,126 S 3rd St,Terre Haute,IN,47807,1,2,1,9353,43565157,28258610,38738671,1.749918605885473,10.77,72.94677197366941,3.0013369893947095,-2.3866397006569784,4.505425806680519,0.1928227102303115,16.722120365668484,,72
146,2025.3,2025,3,TEL-U-WATT,P. O. BOX 3070,MINOT,ND,58702,1,3,0,352,5654530,4180476,5158433,0.3263999451293046,8.5,81.04158762942157,5.927869135234598,-3.480360489820644,5.6723976826761335,-1.9498607242339872,1.9567301167209554,,74
147,2025.3,2025,3,NORTHERN STS PWR COMPANY EMP,1206 5th Ave S,Grand Forks,ND,58201,1,3,0,122,1584029,1225905,1423297,1.2190301056989532,10.1,86.13135557792927,2.3409839366092866,13.667488486334278,2.7217523595091775,-2.400000000000002,6.195506482820857,,75
150,2025.3,2025,3,FEDCHOICE,10001 Willowdale Road,Lanham,MD,20706,1,1,1,25416,447073952,289835974,403148994,0.26080780291481964,9.46,71.89301680360884,2.3309780752280185,4.90976597778765,1.6851213890632044,2.645288962481329,3.1005446438408573,,77
151,2025.3,2025,3,JUSTICE,5175 Parkstone Drive Suite 200,Chantilly,VA,20151,1,1,1,69541,1126871745,766405643,991533623,0.08908333008553859,11.79,77.2949726789043,11.38617698426756,0.1380380408591897,7.4125651282808125,0.5102040816326481,1.0078184468978852,,78
153,2025.3,2025,3,MERIDEN POSTAL EMPLOYEES,"Meriden Postal Emplyees FCU, 190 Ce",Meriden,CT,6450,1,1,0,52,381370,39302,301699,-2.9804375418709625,20.89,13.026891040407824,1.0523953549908427,-11.308193983706815,-1.4944880100011382,-11.864406779661019,-9.636258464051176,,80
159,2025.3,2025,3,THREE RIVERS,PO BOX 2573,FORT WAYNE,IN,46801,1,2,0,137381,2717550747,1823000220,2014334145,1.796136347117021,12.89,90.50138104073096,5.429409498201809,-0.20036616234885285,10.189588263740458,2.9356450851546922,13.544568272206067,,83
162,2025.3,2025,3,TREASURY DEPARTMENT,PO BOX 27301,WASHINGTON,DC,20038,1,1,1,11758,176444163,109394630,157536594,0.3422079143213251,10.2,69.44077386870508,0.9818896660993115,0.43508982454734113,1.2907724417732913,-2.8103818813026926,4.6420069089389155,,85
167,2025.3,2025,3,DAKOTALAND,"2297 Kansas Ave SE, Suite 1",Huron,SD,57350,1,3,1,41669,709354074,485426953,625375673,1.304768672142886,10.36,77.62165590345886,8.008468131124346,10.726202848967059,7.695776178153602,3.4894695012914756,12.952385383640507,,87
168,2025.3,2025,3,NORTHERN INDIANA,8121 Grand Blvd,Merrillville,IN,46410,1,2,1,5703,39629936,27529229,35176581,0.2991516347232667,9.02,78.26010435749853,-5.72814784892558,1.980231506424679,-3.2407420858648894,-1.9766242695084202,7.295290499497935,,88
169,2025.3,2025,3,GARY FIREFIGHTERS ASSOCIATION,200 E 5TH AVE,GARY,IN,46402,1,2,1,295,1657587,506696,950600,-0.9577242168309229,42.67,53.302756154007994,-2.9109356440244705,-5.777255450346253,-1.739024247105525,-2.640264026402639,-0.00014140031560550443,,89
176,2025.3,2025,3,EDUCATIONAL,7800 SW 117TH AVE,MIAMI,FL,33183,1,2,1,116191,1728331833,1034189513,1452726456,0.7096479840113594,15.8,71.18955593660642,3.253290961556732,11.555246236201144,3.9382491785422857,8.593779206699326,4.339419258884431,,92
187,2025.3,2025,3,FLORIDA A & M UNIVERSITY,1610 S Monroe St,Tallahassee,FL,32301,1,2,1,3813,27347620,10361129,23585375,0.5442538470968674,13.0,43.93031274677634,-3.033372927923761,-2.6844061051930823,-5.410806699171744,-3.5172064777327927,-5.9338169506703435,,100
195,2025.3,2025,3,NORTHWEST ARKANSAS,1460 NORTH WOOLSEY AVE,FAYETTEVILLE,AR,72703,1,2,1,2319,20589951,12436847,18817853,0.6790367396603425,8.33,66.09067995163954,12.59040120142041,-13.506895192462565,12.21247392579734,1.6659359929855233,6.492121124867434,,104
196,2025.3,2025,3,GTE,711 E HENDERSON AVE,TAMPA,FL,33602,1,2,1,229159,2914499508,2432044941,2556607253,0.46349851797668407,11.4,95.12782763743493,4.863779576347049,1.9477087285180161,1.167164471854476,-1.9879644322026269,4.280246768705053,,105
198,2025.3,2025,3,WHITING REFINERY,1339 119th St,Whiting,IN,46394,1,2,0,2048,52779368,24249156,38833458,0.6019426987489339,26.33,62.44397807684291,4.5342167657629995,11.384948480486479,3.6880093773745237,0.1956947162426559,1.3617715625195541,,107
199,2025.3,2025,3,MEMBERS CHOICE OF CENTRAL TEXAS,PO BOX 20248,WACO,TX,76702,1,2,1,18562,210784132,130791742,180301161,0.7066678341663366,15.94,72.54070981828009,1.0151752445412887,-9.614567552100628,1.7820063283525478,-4.027713148234325,4.325759054301197,,108
200,2025.3,2025,3,A T & T EMPLOYEES PITTSBURGH,635 Grant St,Pittsburgh,PA,15219,1,1,0,902,9943553,3417891,7095267,0.9936493931240783,28.5,48.17142187883839,-1.8739910308319785,-14.092885693898015,-0.1510353770823425,-2.062975027144409,4.308927022484543,,109
205,2025.3,2025,3,ALLEGENT COMMUNITY,"1001 Liberty Ave, Suite 100",Pittsburgh,PA,15222,1,1,0,22850,281757565,183100855,231256204,0.5131489469067432,17.07,79.17662394908118,2.751761421191712,1.551995651842275,3.2847904430596264,8.520136778115495,4.803220658137805,,112
216,2025.3,2025,3,FEDFINANCIAL,10903 New Hampshire Avenue Bldg 2,Silver Spring,MD,20903,1,1,0,3879,76452030,23042214,69275825,0.18675468211326476,8.59,33.261551197694146,1.8103090267244326,-5.580678352393631,2.1800418527426757,-3.121878121878119,2.030845497364963,,116
220,2025.3,2025,3,HOPE,925 White Oaks Blvd.,Bridgeport,WV,26330,1,1,0,2596,40550467,19602768,32257286,1.2256247888169998,20.4,60.77004742432454,2.537765744876519,-1.4418033683641474,3.0139240704414982,2.2047244094488105,5.509943033831959,,117
224,2025.3,2025,3,MAGNOLIA,240 Briarwood Dr,Jackson,MS,39206,1,2,1,21438,173872773,122425867,134109136,3.0275995658394583,21.23,91.28823781252308,9.113638033957617,19.141343880901584,11.284211933039678,9.082582811784468,7.659770886954019,,119
227,2025.3,2025,3,PENTAGON,7940 JONES BRANCH DR,MCLEAN,VA,22102,1,8,0,2748653,29352107429,23001692682,25418435766,0.49396924630169015,10.04,90.49216440284393,-9.581497461365807,-11.777325680089723,-10.275382600631467,-3.140422535856491,3.132082003924546,,121
233,2025.3,2025,3,INFIRST,6222 Little River Tpke,Alexandria,VA,22312,1,1,1,15076,189931006,148478928,169556971,0.14014968054013793,10.31,87.56875469307599,-6.87104531286824,-5.674919374597842,-5.3413184441675865,1.8029576608818987,5.556284637849069,,124
234,2025.3,2025,3,PITTSBURGH FIREFIGHTERS',P.O. BOX 8577,PITTSBURGH,PA,15220,1,1,1,4506,80626819,29033135,61909903,1.3360280492015273,22.77,46.89578499258834,-1.216437470146292,-7.5303684394299015,0.3838317212250697,-0.5298013245033095,6.246374307743463,,125
240,2025.3,2025,3,GREATER PITTSBURGH POLICE,1338 Chartiers Ave,Pittsburgh,PA,15220,1,1,1,9485,106058621,52226371,85661175,1.4082109667380476,18.74,60.96854380061912,33.647094942679814,31.708037035857362,30.34070293460882,66.37432029468515,17.633767902330973,,128
242,2025.3,2025,3,GULF COAST COMMUNITY,12364 HIGHWAY 49,GULFPORT,MS,39503,1,2,1,12053,123501733,78220487,99358714,0.15205644748635938,17.67,78.72534159409511,5.765780775951912,1.2790931188263688,-4.225231146640695,0.6597628194421334,-0.30412011819353885,,129
256,2025.3,2025,3,ENERGY ONE,PO Box 701107,Tulsa,OK,74170,1,2,0,17427,289815129,160760207,235043947,0.12031543840104328,10.99,68.39580812519286,-0.018934999961572885,1.0136666929170257,6.494554361138283,-5.932203389830503,1.5979028414602958,,136
258,2025.3,2025,3,HOUSTON TEXAS FIRE FIGHTERS,PO Box 70009,Houston,TX,77270,1,2,0,17584,394485870,167631691,335062342,0.7566179216912184,13.62,50.03000038721153,-9.071164502742313,0.6020500550133923,-7.223335710115942,0.11956954962135669,5.163806709501684,,137
262,2025.3,2025,3,EP,P.O. Box 23393,Washington,DC,20026,1,1,1,4210,72342003,39500742,66999301,0.11454879305741385,8.13,58.9569464314262,0.4097570107985282,-6.7269348897757375,-1.8001473038452565,-5.879722781131235,2.0648097768821856,,139
266,2025.3,2025,3,LIBRARY OF CONGRESS,PO Box 23766,WASHINGTON,DC,20026,1,1,0,10083,339868830,190672993,281885840,0.8754435703825237,15.88,67.64191950897569,3.5861363184493955,-2.9981066079097562,3.820757864938229,-2.2017458777885524,5.596128067194057,,143
274,2025.3,2025,3,AREA,PO BOX 1495,ABERDEEN,SD,57402,1,3,0,11719,188213622,131840281,155600282,1.334763430610853,17.05,84.73010415238194,2.3332477488699377,11.632583168319854,3.3645777479815564,1.182869970644096,8.184937638685938,,149
277,2025.3,2025,3,CLIFTON NJ POSTAL EMPLOYEES,PO Box 2033,Clifton,NJ,7015,1,1,1,246,2187183,362946,1183506,-0.5128749404408394,51.07,30.667018164673436,-13.00487787666823,-25.936038396552142,-6.882418555542314,-4.651162790697672,-0.9378655223572208,,152
287,2025.3,2025,3,USNE PENITENTIARY EMPLOYEES,30 E COURT,LEWISBURG,PA,17837,1,1,0,1261,14231259,5240082,12576856,0.45354380461716803,11.62,41.66448276103344,11.154431128404951,-1.0836083379927808,10.205488336326995,0.6384676775738285,3.4903663310436857,,154
288,2025.3,2025,3,FARGO VA,2101 N ELM,FARGO,ND,58102,1,3,0,1487,13494178,7047310,11749558,1.1492747008724356,12.68,59.97936262793886,-1.4279971126964552,-9.296290127901152,-0.05565968652968545,-1.6534391534391513,10.087606452774848,,155
294,2025.3,2025,3,CME,150 E MOUND ST,COLUMBUS,OH,43215,1,2,0,38572,465620204,364472092,426731296,0.3941502799807215,8.42,85.41020905108398,3.3297538547598204,0.5261139829626282,3.509827025755752,-0.5978765075765335,4.118250818092716,,160
303,2025.3,2025,3,HERITAGE VALLEY,"P.O. Box 3617, 2400 Pleasant Valley",York,PA,17402,1,1,0,13559,127384988,66010279,120290615,0.6651713426847575,7.51,54.87566839690694,8.52991901222886,1.4726320659725234,8.86212469814227,-0.17669145255098107,6.312899522300813,,166
306,2025.3,2025,3,MADISON COUNTY,621 E 8th St,Anderson,IN,46012,1,2,1,9040,113310567,68327090,100976771,1.0630866824078267,10.59,67.66614670219549,2.5612218814386356,3.7745440362711546,3.3984078768916293,0.9604645968282366,11.040655822646608,,168
319,2025.3,2025,3,DEPARTMENT OF THE INTERIOR,1849 C ST NW RM B038,Washington,DC,20240,1,1,0,19480,274684674,216326134,248973203,-0.7828634467099282,7.17,86.8873161422115,-1.479455479994607,-9.404064673746614,-3.8419382441273076,-5.911901081916538,-11.943885020525661,,173
320,2025.3,2025,3,F R B,PO Box 9867,Washington,DC,20016,1,1,0,5742,122555780,83236650,108360554,0.4392736781910694,9.41,76.81452975960237,2.064155037258497,-5.154679185780542,-0.4344258298955683,1.2698412698412653,4.1594795570925385,,174
340,2025.3,2025,3,RADIFI,PO Box 2357,Jacksonville,FL,32232,1,2,1,41974,704913184,530645029,550436813,0.29827417967246794,9.27,96.40434950341884,7.224511253777655,22.894035062060336,17.644361142201138,-3.192029152636189,2.9562855819869918,,183
352,2025.3,2025,3,TAMPA BAY,3815 N Nebraska Avenue,Tampa,FL,33603,1,2,1,36616,475635359,374443225,416555322,0.25883014890534833,10.28,89.89039515860513,15.365343569140721,7.082635730983466,11.747772872808394,5.707439591212227,3.8084044263374883,,188
361,2025.3,2025,3,SPERO FINANCIAL,PO Box 10708,Greenville,SC,29603,1,2,1,47585,694082272,580675759,632024197,0.21165420916309202,8.31,91.87555820746528,-0.6238492118232797,3.106050370542879,-0.897194148714664,-3.258924941042529,-0.7226551928517043,,193
365,2025.3,2025,3,GP,906 N Broad St SE,Rome,GA,30161,1,2,1,9575,144578826,105113609,136536489,-0.15040739338531434,4.89,76.9857272366217,49.0530032965643,40.05039216094346,45.1421458909461,13.893184251219214,-3.337928659945375,,197
367,2025.3,2025,3,PEPCO,701 NINTH STREET NW SUITE 6230,WASHINGTON,DC,20001,1,1,1,1927,33664492,8251138,31570639,0.8313097848702725,8.58,26.135479867860766,3.2990368058765096,10.432002608244906,1.0326281640661295,-19.10159529806885,10.522022869704509,,199
370,2025.3,2025,3,PPG & ASSOCIATES,101 Bailies Run Rd,Creighton,PA,15030,1,1,1,1714,20060091,5215675,18007950,0.25016470426305193,16.16,28.963180150988872,-5.046781779308452,-10.197969342128143,-3.903309155496437,-9.646810753821821,2.343594867496618,,201
373,2025.3,2025,3,NEW ALLIANCE,835 MERCHANT ST,AMBRIDGE,PA,15003,1,1,1,7230,101613552,59056151,91803946,1.1094671288799929,8.85,64.32855402533568,3.21491766968498,4.589621206816208,3.648102054467972,-3.4068136272545124,11.16674098122146,,203
376,2025.3,2025,3,REGIONAL MEMBERS,P O BOX 9304,COLUMBUS,GA,31908,1,2,1,1282,9095631,6039715,7708589,1.055741169519996,14.58,78.35046076525808,-1.9619715787749348,-2.0200874787767775,-0.7481618132483936,9.760273972602729,7.121579751677613,,206
378,2025.3,2025,3,FLORIDA CUSTOMS,"5519 W Hillsborough Ave, Suite 111",Tampa,FL,33634,1,2,0,1042,6946278,2667726,5100110,0.4531780070235413,26.04,52.30722474613293,-8.624234946033027,5.568269282137228,-5.9368838188259225,-0.19157088122605526,1.7591077765750844,,208
383,2025.3,2025,3,ON THE GRID FINANCIAL,5901 Peachtree Dunwoody Rd Ste A275,Atlanta,GA,30328,1,2,1,4057,43852007,18077038,37216129,0.2734102384031616,14.27,48.57312806498494,0.5296345024635052,0.6266258483134557,0.788462972737447,-3.657088577535028,2.098492807206315,,211
389,2025.3,2025,3,CINCINNATI OHIO POLICE,959 W 8TH ST,CINCINNATI,OH,45203,1,2,0,11284,184373126,105346952,161890735,0.9768402008564958,10.92,65.07287276198974,13.951099496771867,6.033901111060103,13.922277320418486,5.556594948550053,10.050000497424923,,214
390,2025.3,2025,3,ELLIOTT COMMUNITY,920 NORTH FOURTH STREET,JEANNETTE,PA,15644,1,1,1,6896,52764269,32381178,45006852,1.1715556263660392,14.68,71.9472181702466,2.3082082472502874,1.4284096215536168,3.2812070991198317,1.6659295297066112,9.399051828606174,,215
395,2025.3,2025,3,FIREFIGHTERS & COMPANY,338 S PATTERSON BLVD,DAYTON,OH,45402,1,2,1,7224,126909471,83209835,108262617,0.5874803690679937,9.2,76.85924957827316,7.420174283184133,-3.3026931293434814,5.716524742897056,-2.29916148228293,6.5404080514856915,,217
404,2025.3,2025,3,EPIC,PO Box 6708,Metairie,LA,70009,1,2,1,14050,163764311,131735019,138782879,1.590360227970311,14.49,94.92166465288561,-0.8453816829553373,-4.226908975496412,-0.31873790580111416,-3.9053416318993284,10.286964603142433,,222
422,2025.3,2025,3,PITTSBURGH,317 Brownsville Road,Pittsburgh,PA,15210,1,1,1,1336,11480884,3546447,10271703,0.5463056574162393,10.28,34.52637795310086,5.089724788325856,-6.801821156158228,5.319964109573139,-14.632587859424916,4.639715875693843,,229
430,2025.3,2025,3,DEEPWATER INDUSTRIES,PO Box 42,Deepwater,NJ,8023,1,1,1,7907,110316265,54283810,97954316,0.9748233802395858,10.24,55.41747644891931,1.380987287456792,1.2051780899680065,2.9488980091461503,-12.09560867148416,8.231461910830955,,232
435,2025.3,2025,3,STATE DEPARTMENT,1630 KING STREET,ALEXANDRIA,VA,22314,1,1,1,85755,2895924653,1422107593,2354711030,0.24077413112917556,10.57,60.39414496648449,2.020948665191158,-3.3360856583685594,-0.004194995315787153,-3.16187679972898,2.2869320651394203,,235
444,2025.3,2025,3,SCA,2656 ELLWOOD RD UNIT 1,NEW CASTLE,PA,16101,1,1,0,1667,16635345,7757930,13530420,1.4322396761554166,19.55,57.33694888998272,-0.1820127816174133,-4.815813624785903,1.3591100422098545,-2.571595558153128,7.985905623470259,,239
452,2025.3,2025,3,SKYLINE FINANCIAL,3528 E Main St,Waterbury,CT,6705,1,1,0,3837,44611779,31462271,41028254,0.3187777299957051,7.03,76.68440143711696,20.00306294310048,29.039598393445807,16.11883545755608,1.2935586061246118,7.373471828846885,,240
464,2025.3,2025,3,EAGLE ONE,P O Box 543,Claymont,DE,19703,1,1,1,8427,87784305,46906516,77774269,0.2560896287948341,10.21,60.31109852025739,2.3044223601909275,-3.435972810935639,2.8985358601042455,-8.670207001192153,2.7752921592568724,,246
473,2025.3,2025,3,RIVERTRUST,PO BOX 97997,PEARL,MS,39288,1,2,1,7593,162523214,88037877,136441426,0.7595691803996794,19.39,64.52430143906588,-2.1472340125660017,-3.517530560852289,-0.7674471398058436,1.8921095008051614,3.3298736961982254,,252
475,2025.3,2025,3,INTEGRITY,971 WOOSTER RD W,BARBERTON,OH,44203,1,2,1,5732,71658286,38495250,65032652,1.4477550964664858,9.12,59.193726253082836,10.233766570135106,2.098448309929579,10.565879399025668,1.075648033856469,14.446621799993418,,253
477,2025.3,2025,3,THE ATLANTIC,P.O. Box 618,Kenilworth,NJ,7033,1,1,1,14925,243332557,190283234,209738652,0.039016746604868674,13.82,90.72397108759905,-2.2030392099976592,-2.1216882754778066,-1.760070179384643,-3.802771511440539,0.21265032091811928,,255
484,2025.3,2025,3,LYNN FIREMENS,30 Boston St Ste 9,Lynn,MA,1904,1,1,1,1594,19324148,13924602,15577119,1.775111860415753,19.33,89.39138232172458,2.999744635054924,7.985443533902736,4.331838357292561,2.905100064557775,10.237421336792856,,257
489,2025.3,2025,3,PRIMETRUST FINANCIAL,3700 W BETHEL AVE,MUNCIE,IN,47304,1,2,1,18652,244017060,193987659,217199699,1.1809265551857169,10.52,89.31304228004478,0.2926462203816538,17.465167257999113,1.5465270469574577,3.7778890558059386,9.873619339429112,,259
490,2025.3,2025,3,RAILS WEST,PO BOX 1450,POCATELLO,ID,83204,1,3,1,7653,75565796,39784118,66088676,1.1981436118071376,11.12,60.19808597769457,-0.327705061342598,-5.8604867625930535,1.381883642005155,-3.5173978819969753,12.862619604067996,,260
511,2025.3,2025,3,BFG,445 SOUTH MAIN ST,AKRON,OH,44311,1,2,0,20456,161377346,115732588,140440277,0.3675932047872823,12.49,82.40697787857539,5.040430351379954,5.794897688255385,5.151741416864231,-1.701105237866407,5.737525333610774,,271
514,2025.3,2025,3,BEN E KEITH COMPANY EMPLOYEES,PO Box 2628,Fort Worth,TX,76113,1,2,0,1610,11692043,4938384,9259099,1.5498207938248139,19.75,53.335470330320476,0.4821659899015396,-4.167645841406875,2.717785591204036,-2.836451418225705,9.144819566429996,,272
517,2025.3,2025,3,SEI,PO BOX 1466,POCATELLO,ID,83204,1,3,1,3166,32853986,28558937,29924778,0.4536743430141077,8.88,95.43575227191326,3.56508088345735,1.743124815815289,3.419073029906583,-1.3092269326683281,1.698155167281425,,274
524,2025.3,2025,3,BOSTON CUSTOMS,"10 Causeway Street, Room 436",Boston,MA,2222,1,1,0,350,2409061,1406432,2010396,2.3573870405371276,16.53,69.95795853155299,0.1064604249055634,-10.78141245593569,1.9698864179889197,-0.5681818181818232,12.231310419055722,,276
528,2025.3,2025,3,UTAH FIRST,200 E SOUTH TEMPLE,SALT LAKE CITY,UT,84111,1,3,1,44331,1134830796,918025908,901800246,0.9899519053578762,9.88,101.79925233686397,13.09850420647123,10.22689678016835,9.766333375740732,10.139130434782606,11.183958944014588,,277
